position,trap,cell_label,x,y
by4741_013,3,4,301,704
by4741_013,8,27,301,832
by4741_013,9,1,398,244
by4741_013,10,1,215,504
by4741_013,12,2,304,312
by4741_013,14,15,576,115
by4741_013,18,1,303,444
by4741_013,19,21,658,835
by4741_013,20,2,398,113
by4741_013,21,2,126,181
by4741_013,24,1,572,766
by4741_013,25,3,932,638
by4741_013,26,1,755,247
by4741_013,26,9,755,247
by4741_013,28,1,216,633
by4741_013,29,7,1113,118
by4741_013,30,1,303,572
by4741_013,31,1,480,835
by4741_013,32,7,838,707
by4741_013,33,1,752,767
by4741_013,34,1,478,1090
by4741_013,35,10,1107,1027
by4741_013,36,25,658,575
by4741_013,37,1,218,243
by4741_013,38,2,575,375
by4741_013,39,41,121,832
by4741_013,41,1,121,701
by4741_013,41,2,121,701
by4741_013,42,1,839,315
by4741_013,43,75,750,1024
by4741_013,44,3,118,1089
by4741_013,45,3,298,1089
by4741_013,48,1,658,706
by4741_013,48,2,658,706
by4741_013,50,1,758,115
by4741_013,50,2,758,115
by4741_013,51,2,570,895
by4741_013,53,1,929,898
by4741_013,54,8,933,116
by4741_013,56,1,478,963
by4741_013,57,3,213,1021
by4741_013,60,2,836,966
by4741_013,61,3,752,507
by4741_013,62,9,932,378
by4741_013,63,1,121,961
by4741_013,64,2,1021,187
by4741_013,65,41,927,1027
by4741_013,66,2,933,247
by4741_013,67,6,1112,249
by4741_013,70,3,483,313
by4741_013,71,2,838,578
by4741_013,72,2,752,638
by4741_013,72,3,752,638
by4741_013,74,1,481,575
by4741_013,74,2,481,575
by4741_013,75,22,393,895
by4741_013,76,8,1018,838
by4741_013,76,100,1018,838
by4741_013,77,4,390,1023
by4741_013,79,3,933,507
by4741_013,81,2,658,1092
by4741_013,81,4,658,1092
by4741_013,82,2,658,964
by4741_013,82,4,658,964
by4741_013,83,3,1020,318
by4741_013,83,60,1020,318
by4741_013,83,79,1020,318
by4741_013,84,3,840,447
by4741_013,86,2,1018,578
by4741_013,87,28,1109,641
by4741_013,88,61,1110,509
by4741_013,89,69,1109,378
by4741_014,1,1,309,458
by4741_014,3,2,667,461
by4741_014,4,12,941,132
by4741_014,5,1,401,390
by4741_014,7,1,224,127
by4741_014,8,1,130,327
by4741_014,9,7,132,195
by4741_014,10,1,312,67
by4741_014,11,1,401,521
by4741_014,12,1,307,718
by4741_014,13,1,132,64
by4741_014,15,9,1027,201
by4741_014,16,1,484,1112
by4741_014,17,1,846,592
by4741_014,18,2,490,198
by4741_014,18,13,490,198
by4741_014,19,45,847,461
by4741_014,20,8,310,198
by4741_014,23,2,403,258
by4741_014,24,1,127,849
by4741_014,25,2,127,978
by4741_014,27,1,218,1041
by4741_014,27,2,218,1041
by4741_014,28,4,223,389
by4741_014,29,12,758,521
by4741_014,29,31,758,521
by4741_014,30,1,581,390
by4741_014,31,1,581,261
by4741_014,32,1,489,329
by4741_014,33,2,670,69
by4741_014,35,1,221,649
by4741_014,39,1,487,721
by4741_014,40,6,1024,724
by4741_014,41,2,310,327
by4741_014,42,3,126,1110
by4741_014,43,1,941,263
by4741_014,44,3,581,521
by4741_014,44,27,581,521
by4741_014,45,1,130,458
by4741_014,46,19,306,1110
by4741_014,48,2,486,981
by4741_014,49,1,398,1041
by4741_014,49,2,398,1041
by4741_014,50,6,1027,70
by4741_014,53,7,938,524
by4741_014,53,19,938,524
by4741_014,53,20,938,524
by4741_014,54,3,578,912
by4741_014,54,58,578,912
by4741_014,55,1,669,201
by4741_014,56,2,844,852
by4741_014,59,13,849,70
by4741_014,61,2,398,912
by4741_014,62,2,667,330
by4741_014,63,1,490,67
by4741_014,63,2,490,67
by4741_014,63,3,490,67
by4741_014,65,14,758,652
by4741_014,65,15,758,652
by4741_014,65,82,758,652
by4741_014,66,17,935,1046
by4741_014,67,1,847,332
by4741_014,68,2,486,850
by4741_014,69,3,761,261
by4741_014,70,1,578,1043
by4741_014,71,1,664,1112
by4741_014,71,2,664,1112
by4741_014,72,1,487,589
by4741_014,72,3,487,589
by4741_014,72,36,487,589
by4741_014,73,2,399,781
by4741_014,74,15,489,458
by4741_014,75,1,307,849
by4741_014,75,2,307,849
by4741_014,75,3,307,849
by4741_014,75,5,307,849
by4741_014,76,2,938,653
by4741_014,77,2,758,784
by4741_014,79,1,756,913
by4741_014,79,27,756,913
by4741_014,79,51,756,913
by4741_014,80,1,664,852
by4741_014,82,24,1021,1115
by4741_014,84,17,759,392
by4741_014,84,25,759,392
by4741_014,86,5,1024,592
by4741_014,86,69,1024,592
by4741_014,88,64,844,721
by4741_014,90,2,664,981
by4741_014,90,4,664,981
by4741_014,92,7,578,652
by4741_014,94,3,938,393
by4741_014,94,6,938,393
by4741_014,94,67,938,393
by4741_014,95,11,761,132
by4741_014,96,7,1115,1047
by4741_014,97,71,1024,855
by4741_014,99,5,1026,463
by4741_014,100,6,1023,984
by4741_015,9,1,504,1138
by4741_015,11,22,601,678
by4741_015,11,27,601,678
by4741_015,12,1,867,618
by4741_015,13,1,424,155
by4741_015,22,1,147,1135
by4741_015,24,19,1047,358
by4741_015,25,5,687,878
by4741_015,26,19,240,1067
by4741_015,27,1,692,95
by4741_015,29,1,1136,812
by4741_015,31,3,507,878
